"resId","resName","flightId","avSeats","totalSeats","type","orig","origDate","dest","destDate"
"R-974415188","2 passengers from SJCR: 2020-08-08T19:20 to 2020-08-27","F-781941509","18","20","shuttle","AMB","2020-08-25T20:10","ISS","2020-08-26T20:10"
"R-974415188","2 passengers from SJCR: 2020-08-08T19:20 to 2020-08-27","F-986836178","12","20","transport","ISS","2020-08-27T14:00","SJCR","2020-08-27T22:00"
"R-260993414","5 passengers from LGCA: 2020-05-09T13:10 to 2020-06-03","F-763446322","15","20","shuttle","LGCA","2020-05-09T13:10","ISS","2020-05-09T21:10"
"R-260993414","5 passengers from LGCA: 2020-05-09T13:10 to 2020-06-03","F-3920758","9","20","transport","ISS","2020-05-16T13:20","JS","2020-05-16T21:20"
"R-260993414","5 passengers from LGCA: 2020-05-09T13:10 to 2020-06-03","F-616141153","10","20","shuttle","JS","2020-05-18T20:50","TMM","2020-05-19T20:50"
"R-260993414","5 passengers from LGCA: 2020-05-09T13:10 to 2020-06-03","F-810534758","14","20","shuttle","TMM","2020-05-20T07:50","VOS","2020-05-21T07:50"
"R-260993414","5 passengers from LGCA: 2020-05-09T13:10 to 2020-06-03","F-877510363","7","20","shuttle","VOS","2020-05-21T17:50","ISS","2020-05-22T17:50"
"R-260993414","5 passengers from LGCA: 2020-05-09T13:10 to 2020-06-03","F-37718542","10","20","transport","ISS","2020-06-02T16:00","LGCA","2020-06-03T00:00"
"R-644402638","2 passengers from LHEN: 2020-07-31T15:50 to 2020-08-21","F-346290502","18","20","shuttle","LHEN","2020-07-31T15:50","ISS","2020-07-31T23:50"
"R-644402638","2 passengers from LHEN: 2020-07-31T15:50 to 2020-08-21","F-903192538","1","20","transport","ISS","2020-08-03T09:20","JS","2020-08-03T17:20"
"R-644402638","2 passengers from LHEN: 2020-07-31T15:50 to 2020-08-21","F-218584032","18","20","shuttle","JS","2020-08-03T17:30","AMB","2020-08-04T17:30"
"R-644402638","2 passengers from LHEN: 2020-07-31T15:50 to 2020-08-21","F-286425452","18","20","shuttle","AMB","2020-08-07T14:00","TMM","2020-08-08T14:00"
"R-644402638","2 passengers from LHEN: 2020-07-31T15:50 to 2020-08-21","F-573631776","3","20","shuttle","TMM","2020-08-11T15:40","ISS","2020-08-12T15:40"
"R-644402638","2 passengers from LHEN: 2020-07-31T15:50 to 2020-08-21","F-173760435","3","20","transport","ISS","2020-08-21T12:50","LHEN","2020-08-21T20:50"
"R-600686536","1 passenger from UBMO: 2020-08-12T08:50 to 2020-10-03","F-991327975","19","20","shuttle","UBMO","2020-08-12T08:50","ISS","2020-08-12T16:50"
"R-600686536","1 passenger from UBMO: 2020-08-12T08:50 to 2020-10-03","F-114935125","16","20","transport","ISS","2020-08-29T10:30","AMB","2020-08-29T18:30"
"R-600686536","1 passenger from UBMO: 2020-08-12T08:50 to 2020-10-03","F-961904657","19","20","shuttle","AMB","2020-09-02T12:10","VOS","2020-09-03T12:10"
"R-600686536","1 passenger from UBMO: 2020-08-12T08:50 to 2020-10-03","F-672320123","19","20","shuttle","VOS","2020-09-04T17:20","JS","2020-09-05T17:20"
"R-600686536","1 passenger from UBMO: 2020-08-12T08:50 to 2020-10-03","F-35790581","19","20","shuttle","JS","2020-09-09T17:30","ISS","2020-09-10T17:30"
"R-600686536","1 passenger from UBMO: 2020-08-12T08:50 to 2020-10-03","F-624938966","12","20","transport","ISS","2020-10-03T13:00","UBMO","2020-10-03T21:00"
"R-756925801","3 passengers from UBMO: 2020-06-17T20:40 to 2020-07-31","F-377969899","17","20","shuttle","UBMO","2020-06-17T20:40","ISS","2020-06-18T04:40"
"R-756925801","3 passengers from UBMO: 2020-06-17T20:40 to 2020-07-31","F-44093363","6","20","transport","ISS","2020-06-22T17:20","AMB","2020-06-23T01:20"
"R-756925801","3 passengers from UBMO: 2020-06-17T20:40 to 2020-07-31","F-418087313","17","20","shuttle","AMB","2020-07-07T17:10","VOS","2020-07-08T17:10"
"R-756925801","3 passengers from UBMO: 2020-06-17T20:40 to 2020-07-31","F-699507517","15","20","shuttle","VOS","2020-07-11T07:30","JS","2020-07-12T07:30"
"R-756925801","3 passengers from UBMO: 2020-06-17T20:40 to 2020-07-31","F-86831157","16","20","shuttle","JS","2020-07-14T10:20","ISS","2020-07-15T10:20"
"R-756925801","3 passengers from UBMO: 2020-06-17T20:40 to 2020-07-31","F-407845423","9","20","transport","ISS","2020-07-30T17:40","UBMO","2020-07-31T01:40"
"R-925172813","1 passenger from CTWV: 2020-07-23T14:40 to 2020-08-19","F-569987933","19","20","shuttle","CTWV","2020-07-23T14:40","ISS","2020-07-23T22:40"
"R-925172813","1 passenger from CTWV: 2020-07-23T14:40 to 2020-08-19","F-903192538","1","20","transport","ISS","2020-08-03T09:20","JS","2020-08-03T17:20"
"R-925172813","1 passenger from CTWV: 2020-07-23T14:40 to 2020-08-19","F-731864824","6","20","shuttle","JS","2020-08-05T14:40","VOS","2020-08-06T14:40"
"R-925172813","1 passenger from CTWV: 2020-07-23T14:40 to 2020-08-19","F-374897358","10","20","shuttle","VOS","2020-08-08T19:20","AMB","2020-08-09T19:20"
"R-925172813","1 passenger from CTWV: 2020-07-23T14:40 to 2020-08-19","F-852123422","5","20","shuttle","AMB","2020-08-17T05:40","ISS","2020-08-18T05:40"
"R-925172813","1 passenger from CTWV: 2020-07-23T14:40 to 2020-08-19","F-298175952","19","20","transport","ISS","2020-08-18T17:30","CTWV","2020-08-19T01:30"
"R-624122067","1 passenger from LGCA: 2020-04-05T14:20 to 2020-06-03","F-254081814","19","20","shuttle","LGCA","2020-04-05T14:20","ISS","2020-04-05T22:20"
"R-624122067","1 passenger from LGCA: 2020-04-05T14:20 to 2020-06-03","F-478614782","1","20","transport","ISS","2020-04-29T07:00","JS","2020-04-29T15:00"
"R-624122067","1 passenger from LGCA: 2020-04-05T14:20 to 2020-06-03","F-635161147","12","20","shuttle","JS","2020-05-03T15:20","TMM","2020-05-04T15:20"
"R-624122067","1 passenger from LGCA: 2020-04-05T14:20 to 2020-06-03","F-238058804","17","20","shuttle","TMM","2020-05-09T16:20","AMB","2020-05-10T16:20"
"R-624122067","1 passenger from LGCA: 2020-04-05T14:20 to 2020-06-03","F-194499904","17","20","shuttle","AMB","2020-05-11T19:00","ISS","2020-05-12T19:00"
"R-624122067","1 passenger from LGCA: 2020-04-05T14:20 to 2020-06-03","F-37718542","10","20","transport","ISS","2020-06-02T16:00","LGCA","2020-06-03T00:00"
"R-186247205","4 passengers from UBMO: 2020-03-14T16:30 to 2020-04-02","F-628477432","12","20","shuttle","UBMO","2020-03-14T16:30","ISS","2020-03-15T00:30"
"R-186247205","4 passengers from UBMO: 2020-03-14T16:30 to 2020-04-02","F-270111420","8","20","transport","ISS","2020-03-16T09:10","JS","2020-03-16T17:10"
"R-186247205","4 passengers from UBMO: 2020-03-14T16:30 to 2020-04-02","F-120196448","12","20","shuttle","JS","2020-03-23T13:20","TMM","2020-03-24T13:20"
"R-186247205","4 passengers from UBMO: 2020-03-14T16:30 to 2020-04-02","F-608115190","12","20","shuttle","TMM","2020-03-27T05:40","AMB","2020-03-28T05:40"
"R-186247205","4 passengers from UBMO: 2020-03-14T16:30 to 2020-04-02","F-656705356","12","20","shuttle","AMB","2020-03-30T19:10","ISS","2020-03-31T19:10"
"R-186247205","4 passengers from UBMO: 2020-03-14T16:30 to 2020-04-02","F-222589013","8","20","transport","ISS","2020-04-02T08:50","UBMO","2020-04-02T16:50"
"R-48691284","3 passengers from SJCR: 2020-03-20T11:40 to 2020-05-02","F-950273266","17","20","shuttle","SJCR","2020-03-20T11:40","ISS","2020-03-20T19:40"
"R-48691284","3 passengers from SJCR: 2020-03-20T11:40 to 2020-05-02","F-373085329","11","20","transport","ISS","2020-04-11T09:00","TMM","2020-04-11T17:00"
"R-48691284","3 passengers from SJCR: 2020-03-20T11:40 to 2020-05-02","F-502045710","15","20","shuttle","TMM","2020-04-12T10:50","JS","2020-04-13T10:50"
"R-48691284","3 passengers from SJCR: 2020-03-20T11:40 to 2020-05-02","F-896039690","17","20","shuttle","JS","2020-04-13T12:10","VOS","2020-04-14T12:10"
"R-48691284","3 passengers from SJCR: 2020-03-20T11:40 to 2020-05-02","F-192729949","17","20","shuttle","VOS","2020-04-16T18:10","ISS","2020-04-17T18:10"
"R-48691284","3 passengers from SJCR: 2020-03-20T11:40 to 2020-05-02","F-851537553","13","20","transport","ISS","2020-05-02T06:00","SJCR","2020-05-02T14:00"
"R-457425049","4 passengers from CTWV: 2020-05-09T11:30 to 2020-06-04","F-113101811","15","20","shuttle","CTWV","2020-05-09T11:30","ISS","2020-05-09T19:30"
"R-457425049","4 passengers from CTWV: 2020-05-09T11:30 to 2020-06-04","F-942644811","0","20","transport","ISS","2020-05-19T08:00","VOS","2020-05-19T16:00"
"R-457425049","4 passengers from CTWV: 2020-05-09T11:30 to 2020-06-04","F-391415325","10","20","shuttle","VOS","2020-05-20T20:20","AMB","2020-05-21T20:20"
"R-457425049","4 passengers from CTWV: 2020-05-09T11:30 to 2020-06-04","F-836001773","16","20","shuttle","AMB","2020-05-22T09:50","TMM","2020-05-23T09:50"
"R-457425049","4 passengers from CTWV: 2020-05-09T11:30 to 2020-06-04","F-69838074","11","20","shuttle","TMM","2020-05-29T18:00","ISS","2020-05-30T18:00"
"R-457425049","4 passengers from CTWV: 2020-05-09T11:30 to 2020-06-04","F-762644052","9","20","transport","ISS","2020-06-04T07:50","CTWV","2020-06-04T15:50"
"R-454604603","5 passengers from LHEN: 2020-07-18T16:20 to 2020-08-31","F-689696993","15","20","shuttle","LHEN","2020-07-18T16:20","ISS","2020-07-19T00:20"
"R-454604603","5 passengers from LHEN: 2020-07-18T16:20 to 2020-08-31","F-538234297","10","20","transport","ISS","2020-08-08T17:50","AMB","2020-08-09T01:50"
"R-454604603","5 passengers from LHEN: 2020-07-18T16:20 to 2020-08-31","F-212505555","12","20","shuttle","AMB","2020-08-09T20:50","TMM","2020-08-10T20:50"
"R-454604603","5 passengers from LHEN: 2020-07-18T16:20 to 2020-08-31","F-975337431","9","20","shuttle","TMM","2020-08-17T19:20","VOS","2020-08-18T19:20"
"R-454604603","5 passengers from LHEN: 2020-07-18T16:20 to 2020-08-31","F-972208938","15","20","shuttle","VOS","2020-08-24T10:20","ISS","2020-08-25T10:20"
"R-454604603","5 passengers from LHEN: 2020-07-18T16:20 to 2020-08-31","F-687573598","13","20","transport","ISS","2020-08-31T10:40","LHEN","2020-08-31T18:40"
"R-552364720","4 passengers from LHEN: 2020-07-02T20:10 to 2020-07-26","F-647207535","16","20","shuttle","LHEN","2020-07-02T20:10","ISS","2020-07-03T04:10"
"R-552364720","4 passengers from LHEN: 2020-07-02T20:10 to 2020-07-26","F-46203133","4","20","transport","ISS","2020-07-14T18:00","TMM","2020-07-15T02:00"
"R-552364720","4 passengers from LHEN: 2020-07-02T20:10 to 2020-07-26","F-806306450","9","20","shuttle","TMM","2020-07-15T17:50","VOS","2020-07-16T17:50"
"R-552364720","4 passengers from LHEN: 2020-07-02T20:10 to 2020-07-26","F-8109842","14","20","shuttle","VOS","2020-07-17T11:40","JS","2020-07-18T11:40"
"R-552364720","4 passengers from LHEN: 2020-07-02T20:10 to 2020-07-26","F-544809513","16","20","shuttle","JS","2020-07-24T12:50","ISS","2020-07-25T12:50"
"R-552364720","4 passengers from LHEN: 2020-07-02T20:10 to 2020-07-26","F-227372667","14","20","transport","ISS","2020-07-26T10:40","LHEN","2020-07-26T18:40"
"R-254120057","3 passengers from LGCA: 2020-07-29T19:50 to 2020-08-16","F-441099290","17","20","shuttle","LGCA","2020-07-29T19:50","ISS","2020-07-30T03:50"
"R-254120057","3 passengers from LGCA: 2020-07-29T19:50 to 2020-08-16","F-461672792","13","20","transport","ISS","2020-07-31T09:40","TMM","2020-07-31T17:40"
"R-254120057","3 passengers from LGCA: 2020-07-29T19:50 to 2020-08-16","F-238037225","13","20","shuttle","TMM","2020-08-03T14:40","VOS","2020-08-04T14:40"
"R-254120057","3 passengers from LGCA: 2020-07-29T19:50 to 2020-08-16","F-519497554","12","20","shuttle","VOS","2020-08-05T10:20","JS","2020-08-06T10:20"
"R-254120057","3 passengers from LGCA: 2020-07-29T19:50 to 2020-08-16","F-796446983","12","20","shuttle","JS","2020-08-11T14:10","ISS","2020-08-12T14:10"
"R-254120057","3 passengers from LGCA: 2020-07-29T19:50 to 2020-08-16","F-431835718","10","20","transport","ISS","2020-08-16T14:10","LGCA","2020-08-16T22:10"
"R-913522184","2 passengers from LHEN: 2020-03-08T16:10 to 2020-04-06","F-52954605","18","20","shuttle","LHEN","2020-03-08T16:10","ISS","2020-03-09T00:10"
"R-913522184","2 passengers from LHEN: 2020-03-08T16:10 to 2020-04-06","F-907550061","18","20","transport","ISS","2020-03-09T13:10","TMM","2020-03-09T21:10"
"R-913522184","2 passengers from LHEN: 2020-03-08T16:10 to 2020-04-06","F-947097377","18","20","shuttle","TMM","2020-03-12T09:00","JS","2020-03-13T09:00"
"R-913522184","2 passengers from LHEN: 2020-03-08T16:10 to 2020-04-06","F-349619619","18","20","shuttle","JS","2020-03-15T11:00","AMB","2020-03-16T11:00"
"R-913522184","2 passengers from LHEN: 2020-03-08T16:10 to 2020-04-06","F-851459583","18","20","shuttle","AMB","2020-03-17T19:30","ISS","2020-03-18T19:30"
"R-913522184","2 passengers from LHEN: 2020-03-08T16:10 to 2020-04-06","F-293647064","18","20","transport","ISS","2020-04-06T09:00","LHEN","2020-04-06T17:00"
"R-700410064","3 passengers from LHEN: 2020-05-30T14:00 to 2020-06-22","F-24881967","17","20","shuttle","LHEN","2020-05-30T14:00","ISS","2020-05-30T22:00"
"R-700410064","3 passengers from LHEN: 2020-05-30T14:00 to 2020-06-22","F-606278790","17","20","transport","ISS","2020-06-01T15:20","AMB","2020-06-01T23:20"
"R-700410064","3 passengers from LHEN: 2020-05-30T14:00 to 2020-06-22","F-734812349","17","20","shuttle","AMB","2020-06-02T15:00","JS","2020-06-03T15:00"
"R-700410064","3 passengers from LHEN: 2020-05-30T14:00 to 2020-06-22","F-705066569","17","20","shuttle","JS","2020-06-05T10:20","TMM","2020-06-06T10:20"
"R-700410064","3 passengers from LHEN: 2020-05-30T14:00 to 2020-06-22","F-114502615","7","20","shuttle","TMM","2020-06-07T18:20","ISS","2020-06-08T18:20"
"R-700410064","3 passengers from LHEN: 2020-05-30T14:00 to 2020-06-22","F-135174263","2","20","transport","ISS","2020-06-21T18:20","LHEN","2020-06-22T02:20"
"R-618695040","1 passenger from LHEN: 2020-05-04T17:40 to 2020-06-22","F-607530991","19","20","shuttle","LHEN","2020-05-04T17:40","ISS","2020-05-05T01:40"
"R-618695040","1 passenger from LHEN: 2020-05-04T17:40 to 2020-06-22","F-167945531","19","20","transport","ISS","2020-05-20T05:00","VOS","2020-05-20T13:00"
"R-618695040","1 passenger from LHEN: 2020-05-04T17:40 to 2020-06-22","F-646279857","7","20","shuttle","VOS","2020-05-27T14:10","JS","2020-05-28T14:10"
"R-618695040","1 passenger from LHEN: 2020-05-04T17:40 to 2020-06-22","F-151345729","12","20","shuttle","JS","2020-06-02T07:40","TMM","2020-06-03T07:40"
"R-618695040","1 passenger from LHEN: 2020-05-04T17:40 to 2020-06-22","F-114502615","7","20","shuttle","TMM","2020-06-07T18:20","ISS","2020-06-08T18:20"
"R-618695040","1 passenger from LHEN: 2020-05-04T17:40 to 2020-06-22","F-135174263","2","20","transport","ISS","2020-06-21T18:20","LHEN","2020-06-22T02:20"
"R-508735709","1 passenger from UBMO: 2020-05-24T11:00 to 2020-06-16","F-195159527","17","20","shuttle","UBMO","2020-05-24T11:00","ISS","2020-05-24T19:00"
"R-508735709","1 passenger from UBMO: 2020-05-24T11:00 to 2020-06-16","F-880368603","19","20","transport","ISS","2020-05-25T12:30","AMB","2020-05-25T20:30"
"R-508735709","1 passenger from UBMO: 2020-05-24T11:00 to 2020-06-16","F-761025787","9","20","shuttle","AMB","2020-05-29T09:20","JS","2020-05-30T09:20"
"R-508735709","1 passenger from UBMO: 2020-05-24T11:00 to 2020-06-16","F-91775069","15","20","shuttle","JS","2020-06-04T05:40","VOS","2020-06-05T05:40"
"R-508735709","1 passenger from UBMO: 2020-05-24T11:00 to 2020-06-16","F-912678011","17","20","shuttle","VOS","2020-06-07T11:00","ISS","2020-06-08T11:00"
"R-508735709","1 passenger from UBMO: 2020-05-24T11:00 to 2020-06-16","F-418062869","5","20","transport","ISS","2020-06-16T11:40","UBMO","2020-06-16T19:40"
"R-387816279","1 passenger from LGCA: 2020-04-27T15:30 to 2020-06-03","F-729746541","19","20","shuttle","LGCA","2020-04-27T15:30","ISS","2020-04-27T23:30"
"R-387816279","1 passenger from LGCA: 2020-04-27T15:30 to 2020-06-03","F-903339963","8","20","transport","ISS","2020-04-28T09:20","TMM","2020-04-28T17:20"
"R-387816279","1 passenger from LGCA: 2020-04-27T15:30 to 2020-06-03","F-908784934","13","20","shuttle","TMM","2020-05-01T11:20","JS","2020-05-02T11:20"
"R-387816279","1 passenger from LGCA: 2020-04-27T15:30 to 2020-06-03","F-839207541","13","20","shuttle","JS","2020-05-05T14:20","VOS","2020-05-06T14:20"
"R-387816279","1 passenger from LGCA: 2020-04-27T15:30 to 2020-06-03","F-37809100","13","20","shuttle","VOS","2020-05-09T16:00","ISS","2020-05-10T16:00"
"R-387816279","1 passenger from LGCA: 2020-04-27T15:30 to 2020-06-03","F-37718542","10","20","transport","ISS","2020-06-02T16:00","LGCA","2020-06-03T00:00"
"R-556153757","4 passengers from CTWV: 2020-04-29T05:20 to 2020-06-04","F-982628073","16","20","shuttle","CTWV","2020-04-29T05:20","ISS","2020-04-29T13:20"
"R-556153757","4 passengers from CTWV: 2020-04-29T05:20 to 2020-06-04","F-150482902","16","20","transport","ISS","2020-05-09T10:20","TMM","2020-05-09T18:20"
"R-556153757","4 passengers from CTWV: 2020-04-29T05:20 to 2020-06-04","F-977974629","16","20","shuttle","TMM","2020-05-13T06:20","AMB","2020-05-14T06:20"
"R-556153757","4 passengers from CTWV: 2020-04-29T05:20 to 2020-06-04","F-109783200","2","20","shuttle","AMB","2020-05-19T09:20","VOS","2020-05-20T09:20"
"R-556153757","4 passengers from CTWV: 2020-04-29T05:20 to 2020-06-04","F-877510363","7","20","shuttle","VOS","2020-05-21T17:50","ISS","2020-05-22T17:50"
"R-556153757","4 passengers from CTWV: 2020-04-29T05:20 to 2020-06-04","F-762644052","9","20","transport","ISS","2020-06-04T07:50","CTWV","2020-06-04T15:50"
"R-758402557","5 passengers from LHEN: 2020-07-27T12:20 to 2020-08-21","F-960175941","15","20","shuttle","LHEN","2020-07-27T12:20","ISS","2020-07-27T20:20"
"R-758402557","5 passengers from LHEN: 2020-07-27T12:20 to 2020-08-21","F-903192538","1","20","transport","ISS","2020-08-03T09:20","JS","2020-08-03T17:20"
"R-758402557","5 passengers from LHEN: 2020-07-27T12:20 to 2020-08-21","F-731864824","6","20","shuttle","JS","2020-08-05T14:40","VOS","2020-08-06T14:40"
"R-758402557","5 passengers from LHEN: 2020-07-27T12:20 to 2020-08-21","F-374897358","10","20","shuttle","VOS","2020-08-08T19:20","AMB","2020-08-09T19:20"
"R-758402557","5 passengers from LHEN: 2020-07-27T12:20 to 2020-08-21","F-852123422","5","20","shuttle","AMB","2020-08-17T05:40","ISS","2020-08-18T05:40"
"R-758402557","5 passengers from LHEN: 2020-07-27T12:20 to 2020-08-21","F-173760435","3","20","transport","ISS","2020-08-21T12:50","LHEN","2020-08-21T20:50"
"R-120357015","3 passengers from LGCA: 2020-05-08T18:50 to 2020-06-05","F-138895004","17","20","shuttle","LGCA","2020-05-08T18:50","ISS","2020-05-09T02:50"
"R-120357015","3 passengers from LGCA: 2020-05-08T18:50 to 2020-06-05","F-3920758","9","20","transport","ISS","2020-05-16T13:20","JS","2020-05-16T21:20"
"R-120357015","3 passengers from LGCA: 2020-05-08T18:50 to 2020-06-05","F-812421319","10","20","shuttle","JS","2020-05-25T16:00","VOS","2020-05-26T16:00"
"R-120357015","3 passengers from LGCA: 2020-05-08T18:50 to 2020-06-05","F-170621280","14","20","shuttle","VOS","2020-05-30T07:40","TMM","2020-05-31T07:40"
"R-120357015","3 passengers from LGCA: 2020-05-08T18:50 to 2020-06-05","F-529439159","15","20","shuttle","TMM","2020-06-02T16:00","ISS","2020-06-03T16:00"
"R-120357015","3 passengers from LGCA: 2020-05-08T18:50 to 2020-06-05","F-859748820","17","20","transport","ISS","2020-06-05T12:00","LGCA","2020-06-05T20:00"
"R-593634814","2 passengers from UBMO: 2020-08-14T10:20 to 2020-09-06","F-330265620","18","20","shuttle","UBMO","2020-08-14T10:20","ISS","2020-08-14T18:20"
"R-593634814","2 passengers from UBMO: 2020-08-14T10:20 to 2020-09-06","F-441370003","8","20","transport","ISS","2020-08-19T16:20","VOS","2020-08-20T00:20"
"R-593634814","2 passengers from UBMO: 2020-08-14T10:20 to 2020-09-06","F-814183511","14","20","shuttle","VOS","2020-08-20T05:30","JS","2020-08-21T05:30"
"R-593634814","2 passengers from UBMO: 2020-08-14T10:20 to 2020-09-06","F-506583274","10","20","shuttle","JS","2020-08-21T17:50","AMB","2020-08-22T17:50"
"R-593634814","2 passengers from UBMO: 2020-08-14T10:20 to 2020-09-06","F-162747826","14","20","shuttle","AMB","2020-08-23T19:30","ISS","2020-08-24T19:30"
"R-593634814","2 passengers from UBMO: 2020-08-14T10:20 to 2020-09-06","F-957835791","5","20","transport","ISS","2020-09-05T18:40","UBMO","2020-09-06T02:40"
"R-639421075","1 passenger from SJCR: 2020-09-03T09:40 to 2020-09-19","F-32557456","19","20","shuttle","SJCR","2020-09-03T09:40","ISS","2020-09-03T17:40"
"R-639421075","1 passenger from SJCR: 2020-09-03T09:40 to 2020-09-19","F-295048965","19","20","transport","ISS","2020-09-07T08:00","VOS","2020-09-07T16:00"
"R-639421075","1 passenger from SJCR: 2020-09-03T09:40 to 2020-09-19","F-463744355","14","20","shuttle","VOS","2020-09-10T20:50","TMM","2020-09-11T20:50"
"R-639421075","1 passenger from SJCR: 2020-09-03T09:40 to 2020-09-19","F-351433469","19","20","shuttle","TMM","2020-09-12T09:20","AMB","2020-09-13T09:20"
"R-639421075","1 passenger from SJCR: 2020-09-03T09:40 to 2020-09-19","F-347827647","19","20","shuttle","AMB","2020-09-14T05:20","ISS","2020-09-15T05:20"
"R-639421075","1 passenger from SJCR: 2020-09-03T09:40 to 2020-09-19","F-45170433","12","20","transport","ISS","2020-09-18T17:30","SJCR","2020-09-19T01:30"
"R-424324650","5 passengers from LGCA: 2020-07-23T17:50 to 2020-08-16","F-758769084","15","20","shuttle","LGCA","2020-07-23T17:50","ISS","2020-07-24T01:50"
"R-424324650","5 passengers from LGCA: 2020-07-23T17:50 to 2020-08-16","F-567802410","11","20","transport","ISS","2020-07-25T17:50","TMM","2020-07-26T01:50"
"R-424324650","5 passengers from LGCA: 2020-07-23T17:50 to 2020-08-16","F-878783663","9","20","shuttle","TMM","2020-07-28T14:50","VOS","2020-07-29T14:50"
"R-424324650","5 passengers from LGCA: 2020-07-23T17:50 to 2020-08-16","F-519497554","12","20","shuttle","VOS","2020-08-05T10:20","JS","2020-08-06T10:20"
"R-424324650","5 passengers from LGCA: 2020-07-23T17:50 to 2020-08-16","F-796446983","12","20","shuttle","JS","2020-08-11T14:10","ISS","2020-08-12T14:10"
"R-424324650","5 passengers from LGCA: 2020-07-23T17:50 to 2020-08-16","F-431835718","10","20","transport","ISS","2020-08-16T14:10","LGCA","2020-08-16T22:10"
"R-130146413","2 passengers from UBMO: 2020-09-11T17:20 to 2020-10-15","F-630391856","18","20","shuttle","UBMO","2020-09-11T17:20","ISS","2020-09-12T01:20"
"R-130146413","2 passengers from UBMO: 2020-09-11T17:20 to 2020-10-15","F-754218022","14","20","transport","ISS","2020-09-23T14:10","TMM","2020-09-23T22:10"
"R-130146413","2 passengers from UBMO: 2020-09-11T17:20 to 2020-10-15","F-703164234","9","20","shuttle","TMM","2020-09-25T16:50","AMB","2020-09-26T16:50"
"R-130146413","2 passengers from UBMO: 2020-09-11T17:20 to 2020-10-15","F-18618511","16","20","shuttle","AMB","2020-10-09T09:00","VOS","2020-10-10T09:00"
"R-130146413","2 passengers from UBMO: 2020-09-11T17:20 to 2020-10-15","F-825025097","15","20","shuttle","VOS","2020-10-10T14:20","ISS","2020-10-11T14:20"
"R-130146413","2 passengers from UBMO: 2020-09-11T17:20 to 2020-10-15","F-952476228","18","20","transport","ISS","2020-10-15T15:20","UBMO","2020-10-15T23:20"
"R-685965588","3 passengers from CTWV: 2020-08-18T17:30 to 2020-09-02","F-723977198","17","20","shuttle","CTWV","2020-08-18T17:30","ISS","2020-08-19T01:30"
"R-685965588","3 passengers from CTWV: 2020-08-18T17:30 to 2020-09-02","F-441370003","8","20","transport","ISS","2020-08-19T16:20","VOS","2020-08-20T00:20"
